Employee_ID,Age,Gender,Department,Education,Years_Experience,Salary,Satisfaction_Score,Remote_Worker
EMP-1106,26,Male,Engineering,Bachelor,1,52000,9.0,No
EMP-1107,47,Female,Engineering,Bachelor,23,124200,3.8,Yes
EMP-1108,35,Male,Engineering,Bachelor,11,89900,6.7,Yes
EMP-1109,48,Male,Marketing,Bachelor,22,109400,4.1,No
EMP-1110,30,Female,HR,Bachelor,6,69200,8.8,No
EMP-1111,36,Female,Engineering,Bachelor,12,98100,4.1,Yes
EMP-1112,36,Female,Sales,Bachelor,12,82500,5.6,No
EMP-1113,47,Female,Engineering,PhD,24,147800,5.9,Yes
EMP-1114,34,Female,HR,Bachelor,8,77700,8.9,No
EMP-1115,53,Male,Marketing,Master,31,144000,4.6,Yes
EMP-1116,53,Female,Marketing,Bachelor,28,123500,3.9,No
EMP-1117,25,Female,Sales,PhD,3,83300,10.0,No
EMP-1118,51,Male,Sales,Bachelor,25,120800,2.7,Yes
EMP-1119,58,Female,Engineering,Bachelor,33,151800,1.0,Yes
EMP-1120,44,Male,Engineering,PhD,18,133100,6.3,No
EMP-1121,36,Female,Marketing,PhD,12,101400,5.6,Yes
EMP-1122,50,Female,Marketing,Master,25,126900,3.5,No
EMP-1123,57,Male,HR,Bachelor,33,135200,5.4,No
EMP-1124,34,Male,HR,Bachelor,12,75700,7.0,No
EMP-1125,53,Male,Sales,Master,31,149200,3.9,No
EMP-1126,28,Male,Marketing,PhD,3,77400,5.3,Yes
EMP-1127,43,Male,HR,Master,18,113400,7.0,No
EMP-1128,49,Female,Marketing,Master,23,110800,6.1,Yes
EMP-1129,23,Female,Engineering,Bachelor,0,64400,7.6,Yes
EMP-1130,27,Male,Sales,Master,3,75400,10.0,Yes
EMP-1131,49,Male,Engineering,Bachelor,24,118900,3.5,Yes
EMP-1132,49,Male,HR,Bachelor,27,119200,2.8,No
EMP-1133,41,Female,Sales,Bachelor,15,90500,4.9,Yes
EMP-1134,51,Female,Engineering,Master,25,136400,4.8,Yes
EMP-1135,32,Male,Sales,Bachelor,10,74900,7.2,No
EMP-1136,49,Female,Sales,Bachelor,23,110000,4.7,No
EMP-1137,46,Male,Engineering,Master,22,140600,5.9,Yes
EMP-1138,54,Male,Engineering,Bachelor,29,144900,2.7,No
EMP-1139,22,Female,Sales,Master,0,67100,10.0,No
EMP-1140,48,Male,Sales,Bachelor,23,117300,5.1,Yes
EMP-1141,34,Male,Marketing,Bachelor,8,62900,8.3,Yes
EMP-1142,24,Female,Sales,Master,0,59900,8.1,Yes
EMP-1143,27,Male,Marketing,Bachelor,5,61000,8.0,No
EMP-1144,29,Male,Sales,Bachelor,5,59100,8.0,No
EMP-1145,48,Male,Sales,Bachelor,25,122900,5.9,No
EMP-1146,30,Female,Marketing,Bachelor,8,66400,8.0,Yes
EMP-1147,58,Male,Sales,PhD,35,171500,6.2,Yes
EMP-1148,54,Female,Engineering,Bachelor,31,149600,4.9,Yes
EMP-1149,45,Female,Engineering,Master,21,132600,6.6,Yes
